20210308,67.43125,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,44.6,&deg;C,8980,Pufferspeichertemperatur 1,50.9,&deg;C,8830,Trinkwassertemperatur 1,50.6,&deg;C,8832,Trinkwassertemperatur 2,44.7,&deg;C,7750,Trinkwassertemperatur B3,50.5,&deg;C,7820,Fühlertemperatur BX1,44.6,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.43194,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,43.9,&deg;C,8980,Pufferspeichertemperatur 1,50.9,&deg;C,8830,Trinkwassertemperatur 1,50.6,&deg;C,8832,Trinkwassertemperatur 2,44.8,&deg;C,7750,Trinkwassertemperatur B3,50.6,&deg;C,7820,Fühlertemperatur BX1,43.9,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.43264,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,46.0,&deg;C,8980,Pufferspeichertemperatur 1,50.9,&deg;C,8830,Trinkwassertemperatur 1,50.6,&deg;C,8832,Trinkwassertemperatur 2,44.8,&deg;C,7750,Trinkwassertemperatur B3,50.6,&deg;C,7820,Fühlertemperatur BX1,46.0,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.43333,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,45.9,&deg;C,8980,Pufferspeichertemperatur 1,51.0,&deg;C,8830,Trinkwassertemperatur 1,50.7,&deg;C,8832,Trinkwassertemperatur 2,44.9,&deg;C,7750,Trinkwassertemperatur B3,50.7,&deg;C,7820,Fühlertemperatur BX1,45.9,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.43404,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,45.5,&deg;C,8980,Pufferspeichertemperatur 1,51.0,&deg;C,8830,Trinkwassertemperatur 1,50.7,&deg;C,8832,Trinkwassertemperatur 2,45.1,&deg;C,7750,Trinkwassertemperatur B3,50.7,&deg;C,7820,Fühlertemperatur BX1,45.5,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.43472,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,45.1,&deg;C,8980,Pufferspeichertemperatur 1,51.1,&deg;C,8830,Trinkwassertemperatur 1,50.8,&deg;C,8832,Trinkwassertemperatur 2,45.1,&deg;C,7750,Trinkwassertemperatur B3,50.8,&deg;C,7820,Fühlertemperatur BX1,45.1,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.43542,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,44.6,&deg;C,8980,Pufferspeichertemperatur 1,51.1,&deg;C,8830,Trinkwassertemperatur 1,50.8,&deg;C,8832,Trinkwassertemperatur 2,45.2,&deg;C,7750,Trinkwassertemperatur B3,50.8,&deg;C,7820,Fühlertemperatur BX1,44.6,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.43611,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,43.9,&deg;C,8980,Pufferspeichertemperatur 1,51.2,&deg;C,8830,Trinkwassertemperatur 1,50.8,&deg;C,8832,Trinkwassertemperatur 2,45.3,&deg;C,7750,Trinkwassertemperatur B3,50.8,&deg;C,7820,Fühlertemperatur BX1,43.9,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.43680,8700,Außentemperatur,3.1,&deg;C,8510,Kollektortemperatur 1,46.6,&deg;C,8980,Pufferspeichertemperatur 1,51.2,&deg;C,8830,Trinkwassertemperatur 1,50.9,&deg;C,8832,Trinkwassertemperatur 2,45.7,&deg;C,7750,Trinkwassertemperatur B3,50.9,&deg;C,7820,Fühlertemperatur BX1,46.6,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.43750,8700,Außentemperatur,3.2,&deg;C,8510,Kollektortemperatur 1,46.5,&deg;C,8980,Pufferspeichertemperatur 1,51.2,&deg;C,8830,Trinkwassertemperatur 1,50.9,&deg;C,8832,Trinkwassertemperatur 2,45.8,&deg;C,7750,Trinkwassertemperatur B3,50.9,&deg;C,7820,Fühlertemperatur BX1,46.5,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.43820,8700,Außentemperatur,3.2,&deg;C,8510,Kollektortemperatur 1,46.1,&deg;C,8980,Pufferspeichertemperatur 1,51.3,&deg;C,8830,Trinkwassertemperatur 1,51.0,&deg;C,8832,Trinkwassertemperatur 2,46.0,&deg;C,7750,Trinkwassertemperatur B3,51.0,&deg;C,7820,Fühlertemperatur BX1,46.1,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.43889,8700,Außentemperatur,3.2,&deg;C,8510,Kollektortemperatur 1,45.5,&deg;C,8980,Pufferspeichertemperatur 1,51.3,&deg;C,8830,Trinkwassertemperatur 1,51.0,&deg;C,8832,Trinkwassertemperatur 2,46.1,&deg;C,7750,Trinkwassertemperatur B3,51.0,&deg;C,7820,Fühlertemperatur BX1,45.4,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.43958,8700,Außentemperatur,3.2,&deg;C,8510,Kollektortemperatur 1,44.9,&deg;C,8980,Pufferspeichertemperatur 1,51.3,&deg;C,8830,Trinkwassertemperatur 1,51.0,&deg;C,8832,Trinkwassertemperatur 2,46.2,&deg;C,7750,Trinkwassertemperatur B3,51.0,&deg;C,7820,Fühlertemperatur BX1,44.9,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.44028,8700,Außentemperatur,3.2,&deg;C,8510,Kollektortemperatur 1,44.3,&deg;C,8980,Pufferspeichertemperatur 1,51.5,&deg;C,8830,Trinkwassertemperatur 1,51.1,&deg;C,8832,Trinkwassertemperatur 2,46.1,&deg;C,7750,Trinkwassertemperatur B3,51.1,&deg;C,7820,Fühlertemperatur BX1,44.3,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.44097,8700,Außentemperatur,3.2,&deg;C,8510,Kollektortemperatur 1,47.5,&deg;C,8980,Pufferspeichertemperatur 1,51.5,&deg;C,8830,Trinkwassertemperatur 1,51.1,&deg;C,8832,Trinkwassertemperatur 2,46.1,&deg;C,7750,Trinkwassertemperatur B3,51.1,&deg;C,7820,Fühlertemperatur BX1,47.6,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.44167,8700,Außentemperatur,3.3,&deg;C,8510,Kollektortemperatur 1,47.5,&deg;C,8980,Pufferspeichertemperatur 1,51.5,&deg;C,8830,Trinkwassertemperatur 1,51.1,&deg;C,8832,Trinkwassertemperatur 2,46.1,&deg;C,7750,Trinkwassertemperatur B3,51.1,&deg;C,7820,Fühlertemperatur BX1,47.5,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.44236,8700,Außentemperatur,3.3,&deg;C,8510,Kollektortemperatur 1,47.3,&deg;C,8980,Pufferspeichertemperatur 1,51.5,&deg;C,8830,Trinkwassertemperatur 1,51.2,&deg;C,8832,Trinkwassertemperatur 2,46.2,&deg;C,7750,Trinkwassertemperatur B3,51.2,&deg;C,7820,Fühlertemperatur BX1,47.2,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
